command,spoken
awk,ark
base64 -d,base sixty four decode
base64,base sixty four
cat
cat,concat
chmod -R,change mode recurse
chmod,change mode
chown -R,change owner recurse
chown,change owner
code
cp,cop
copyq,copy q
curl
cut
d,drum
date
df -h,disk free human
df,disk free
dig
du -h,disk usage human
du,disk usage
echo
egrep,E grab
false
find
grep -Hirn,grab here
grep,grab
head
htop,harp top
id -u,I D user
id,I D
less
ln -s,link soft
ln,link
ls,lisa
ls -al,lisa long
man
md5sum,M D five sum
mkcd,make katie
mkdir,make dear
mkfifo,make fifo
mktemp,make temp
mv,move
paste
printf,print f
pwd,work dear
rev,reverse
rg,rig
rsync,are sync
scp,S copy
sed,said
seq,sequence
sha256sum,shah two fifty six sum
sleep
sort -h,sort human
sort -n,sort numeric
sort -r,sort reverse
sort -u,sort unique
sort
ssh,S S H
stat
sudo,pseudo
tail -f,tail follow
tail
tar
tee -a,tea append
tee,tea
tmux,tux
touch
tr -d,translate delete
tr,translate
true
uniq -c,unique count
uniq,unique
unzip
wc -c,word count characters
wc -l,word count lines
wc,word count
which
who
whoami,who am I
xargs,X args